begin date,end date,mon,tue,wed,thu,fri,sat,sun
9/4/2017,9/10/2017,Closed,8:30AM-6:15PM ,8:30AM-6:15PM ,10:30 am -6:00 pm,8:30 AM - 4:00 PM,9:00 AM - 2:00 PM,CLOSED 
9/11/2017,9/17/2017,8:30 AM - 6:15 PM,8:30 AM-6:15 PM,8:30 AM-6:15 PM,8:30 AM-6:15 PM,8:30 AM - 4:00 PM,CLOSED,CLOSED 
9/18/2017,9/24/2017,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 4:00 PM,9:00 AM - 2:00 PM,CLOSED 
9/25/2017,10/1/2017,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 4:00 PM,CLOSED,CLOSED
1/29/2018,2/4/2018,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 6:00 PM,8:30 AM - 4:00 PM,Closed,Closed
2/5/2018,2/11/2018,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,9:00 AM-6:00PM,12:00Pm-3:00 PM,9:00 AM - 2:00 PM,Closed
2/12/2018,2/18/2018,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,9:00 AM-6:00PM,8:30 AM - 4:00 PM,Closed,Closed
2/19/2018,2/25/2018,Closed,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,9:00 AM-6:00PM,8:30 AM - 4:00 PM,9:00 AM - 2:00 PM,Closed
2/26/2018,3/4/2018,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,9:00 AM-6:00PM,8:30 AM - 4:00 PM,Closed,Closed
